factor,spearman_corr_3yr,tercile_gap_high_minus_low_3yr
QIB,-0.07598359740039562,-8.543358225703008
issue_size_crores,-0.04755293929869953,-6.080415013996554
HNI,-0.10706731341963946,-4.775221594988267
pop_pct,-0.10888578379718768,-4.59128241095258
Total,-0.11570864356561868,-4.207882782026701
RII,-0.10833571553093559,-3.839137749357535
