factor,relative_cagr_6mo,relative_cagr_1yr,relative_cagr_2yr,relative_cagr_3yr
HNI,-0.07682011082084816,-0.10144169448678125,-0.11498094040977323,-0.10706731341963946
QIB,0.03251798637039677,0.01828165372343384,-0.03429954359891931,-0.07598359740039562
RII,-0.07653628089417927,-0.08044455000079696,-0.1062676408548364,-0.10833571553093559
Total,-0.02962145536026953,-0.05978076914321193,-0.09318751227562672,-0.11570864356561868
issue_size_crores,0.14009277616816315,0.02923423441004873,0.000959378128896547,-0.04755293929869953
pop_pct,0.03846653094480132,-0.019868637374545552,-0.09238808637029544,-0.10888578379718768
