nse_symbol,company_name,listing_date,issue_price,listing_price,pop_pct,close_6mo,close_1yr,close_2yr,close_3yr,return_6mo,return_1yr,return_2yr,return_3yr,cagr_6mo,cagr_1yr,cagr_2yr,cagr_3yr,nifty_close_6mo,nifty_close_1yr,nifty_close_2yr,nifty_close_3yr,nifty_close_listing,nifty_return_6mo,relative_return_6mo,nifty_return_1yr,relative_return_1yr,nifty_return_2yr,relative_return_2yr,nifty_return_3yr,relative_return_3yr,nifty_cagr_6mo,relative_cagr_6mo,nifty_cagr_1yr,relative_cagr_1yr,nifty_cagr_2yr,relative_cagr_2yr,nifty_cagr_3yr,relative_cagr_3yr
GKSL,Gujarat Kidney & S...,2025-12-30,114,120.75,5.921052631578947,129.3300018310547,,,,7.105591578513199,,,,14.71607747383279,,,,23946.25,,,,25938.849609375,-7.681912033041052,14.78750361155425,,,,,,,-14.773706341248294,29.489783815081083,,,,,,
KSHINTL,KSH International ...,2025-12-23,384,370.0,-3.6458333333333335,863.4000244140625,,,,133.3513579497466,,,,444.5285625699079,,,,23824.099609375,,,,26177.150390625,-8.988949317007073,142.34030726675368,,,,,,,-17.16988653577691,461.6984491056848,,,,,,
ICICIAMC,ICICI Prudential A...,2025-12-19,2165,2606.2,20.37875288683602,3429.0,,,,31.570869465121643,,,,73.10893691808079,,,,24013.099609375,,,,25966.400390625,-7.522416476159808,39.09328594128145,,,,,,,-14.478965455911618,87.5879023739924,,,,,,
NEPHROPLUS,Nephrocare Health ...,2025-12-17,460,491.7,6.891304347826084,737.0,,,,49.888143176733784,,,,124.66455464969046,,,,24085.69921875,,,,25818.55078125,-6.711653094636261,56.599796271370046,,,,,,,-12.972843316645122,137.63739796633558,,,,,,
PARKHOSPS,Park Medi World Lt...,2025-12-17,162,155.6,-3.9506172839506206,254.1499938964844,,,,63.33547165583832,,,,166.78476301035155,,,,24085.69921875,,,,25818.55078125,-6.711653094636261,70.04712475047458,,,,,,,-12.972843316645122,179.75760632699667,,,,,,
WAKEFIT,Wakefit Innovation...,2025-12-15,195,195.0,0.0,124.58000183105467,,,,-36.112819573818115,,,,-59.184281771924816,,,,23853.900390625,,,,26027.30078125,-8.350464033484071,-27.762355540334042,,,,,,,-16.003625571223033,-43.18065620070178,,,,,,
CORONA,Corona Remedies Lt...,2025-12-15,1062,1452.0,36.72316384180791,1722.26806640625,,,,18.613503196022727,,,,40.691631404328945,,,,23853.900390625,,,,26027.30078125,-8.350464033484071,26.9639672295068,,,,,,,-16.003625571223033,56.69525697555198,,,,,,
AEQUS,Aequs Ltd,2025-12-10,124,140.0,12.903225806451612,175.4199981689453,,,,25.29999869210379,,,,57.00089672241213,,,,23214.94921875,,,,25758.0,-9.872858068367108,35.1728567604709,,,,,,,-18.770982872353002,75.77187959476512,,,,,,
MEESHO,Meesho Ltd,2025-12-10,111,161.2,45.225225225225216,166.05999755859375,,,,3.0148868229489834,,,,6.120669071449902,,,,23214.94921875,,,,25758.0,-9.872858068367108,12.887744891316093,,,,,,,-18.770982872353002,24.891651943802906,,,,,,
VIDYAWIRES,Vidya Wires Ltd,2025-12-10,52,52.13,0.2500000000000049,89.30000305175781,,,,71.30251880252793,,,,193.44552948090436,,,,23214.94921875,,,,25758.0,-9.872858068367108,81.17537687089504,,,,,,,-18.770982872353002,212.21651235325737,,,,,,
